2016-11-22 15:56:05:191T,0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:05:604T,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:06:418T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:07:617T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:08:029T,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:08:426T,0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:08:837T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:09:231T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:09:645T,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:10:040T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:10:853T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,28,26,26,29,0,26,0,	
2016-11-22 15:56:11:263T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:11:656T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:12:070T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:12:463T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:13:275T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:13:686T,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:14:083T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:14:494T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:14:889T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:15:302T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:15:697T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:16:111T,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:16:506T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:16:921T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:17:315T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:17:731T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:18:126T,0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:18:538T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:19:346T,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:19:739T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:20:153T,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:20:545T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:21:356T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:21:767T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:22:162T,0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,28,0,26,0,	
2016-11-22 15:56:22:580T,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:22:971T,0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:25:487T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:26:306T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:26:690T,0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:27:104T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:27:498T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:27:912T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:28:304T,0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:28:720T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:29:113T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:29:526T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:30:338T,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
2016-11-22 15:56:30:732T,$#0,0,29,28,29,28,26,26,26,28,26,26,29,29,26,26,29,0,26,0,	
2016-11-22 15:56:31:142T,$#0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,27,	
